,,*. 대금 및 공급 지급완료가 되면 자료가 Update되고 그 다음차 수정시 제외한다.,,,,,,,,,,,,,,,,,,,,,,지불완료
77,2024-12-18 00:00:00,㈜화인테크폴리머,024002,제BEUP JDS24-1218-2호,1,EPDM SEALING FOAM,300,2025-01-15 00:00:00,,2024-12-18 00:00:00,,270000,납품 후 지급,㈜지아이씨,GIC CSP24-0524-1호,계약 서명확인,입고 확인,241231 전자세금계산서,250121 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\㈜화인테크폴리머\GIC CSP24-0524-1호_MOP외2종생산,,
76,2024-12-16 00:00:00,아이닉스,INQUT2412-013,제BEUP JDS24-1216-1호,1,"Wire,0.5 mm²,328ft",400,2025-01-13 00:00:00,발주 후 6주내,2024-12-13 00:00:00,,1080000,납품 후 지급,㈜지아이씨,GIC CSP24-0524-1호,계약 서명확인,입고 확인,241231 전자세금계산서,250103 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS/5-1_업체구매요청서/1_부품구매요청서및계약서/아이닉스/GIC CSP24-0524-1호_MOP외2종생산,,
75,2024-12-13 00:00:00,아이리코(I RICCO),확인불가,제BEUP JDS24-1212-1호,1,PCB코팅 및 케이블 작업,1,2025-01-10 00:00:00,발주 후 4주내,2024-11-29 00:00:00,,536000,제작완료시 지급,㈜지아이씨,GIC CSP24-0524-1호,계약 서명확인,입고 확인,241213 전자세금계산서,241220 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS/5-1_업체구매요청서/1_부품구매요청서및계약서/아이리코/240524_GIC CSP24-0524-1호_MOP외2종생산,,
74,2024-12-11 00:00:00,박진호,,제BEUP KNK24-1211-1호,1,CSC/운행기록장치 소프트웨어 개발,1,2025-02-28 00:00:00,,,,3000000,"잔금 50% : ₩3,000,000(사업소득세 3.3% 공제)",㈜다원시스 ,DWE-2024-JUN-11-001_7호선3차분TCMS개조,계약 서명확인,,,,3.진행 중,사업소득세 3.3% 공제,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\프리렌서계약_박진호\DWE-2024-JUN-11-001_7호선3차분TCMS개조,,
73,2024-12-11 00:00:00,박진호,,제BEUP KNK24-1211-1호,1,CSC/운행기록장치 소프트웨어 개발,1,2025-02-28 00:00:00,,,,3000000,"초도금 50% : ₩3,000,000(사업소득세 3.3% 공제)",㈜다원시스 ,DWE-2024-JUN-11-001_7호선3차분TCMS개조,계약 서명확인,업무 착수,전자세금계산서 미수취 / 프리렌서계약,(초도금) 241220 지급(입금) / 매입증빙 확인,1.지불 완료,사업소득세 3.3% 공제,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\프리렌서계약_박진호\DWE-2024-JUN-11-001_7호선3차분TCMS개조,,
72,2024-12-03 00:00:00,파츠맨,PQ-24120301,제BEUP KNK24-1203-1호,,SSD부품비,110,2024-12-13 00:00:00,,2024-12-15 00:00:00,,1575350,물품납기시,㈜지아이씨,GIC CSP24-0913-1호,계약 서명,입고 확인,241216 전자세금계산서,241231 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,"1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\파츠맨\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\SSD-서명완료지급필요_1,575,350",,
71,2024-11-25 00:00:00,파츠맨,PQ-24112501,제BEUP KNK24-1125-1호,1,11월부자재구매,1,,,2024-11-27 00:00:00,,1898190,물품납기시,㈜지아이씨,GIC CSP24-0923-1호 추가PCB공급건,계약 서명확인,입고 확인 ,241202 전자세금계산서,241216 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\파츠맨\GIC CSP24-0923-1호 추가PCB공급건\11월자재비용,,
70,2024-11-12 00:00:00,파츠맨,PQ-24111202,제BEUP KNK24-1112-2호,1,NVR/CTM 추가자재,1,,,2024-11-20 00:00:00,,480500,물품납기시,㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,입고 확인 ,241202 전자세금계산서,241216 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\파츠맨\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\NVRCTM추가자재,,
69,2024-11-12 00:00:00,파츠맨,PQ-24111201,제BEUP KNK24-1112-1호,1,PBX수리추가 부품,1,,,2024-11-20 00:00:00,,788260,물품납기시,㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,입고 확인 ,241202 전자세금계산서,241216 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\파츠맨\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\PBX추가자재(수리용),,
68,2024-11-05 00:00:00,파츠맨,PQ-24103101,제BEUP KNK24-1105-1호,1,MOPLCD 자재,1,,,2024-11-15 00:00:00,,2922850,물품납기시,㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,입고 확인 ,241202 전자세금계산서,241216 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\파츠맨\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\MOPLCD,,
67,2024-11-02 00:00:00,파츠맨,확인불가,제BEUP KNK24-1102-2호,1,MOP추가부품,1,,,2024-11-05 00:00:00,,4065500,물품납기시,㈜지아이씨,GIC CSP24-0923-1호 추가PCB공급건,계약 서명확인,입고 확인 ,241202 전자세금계산서,241216 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\파츠맨\GIC CSP24-0923-1호 추가PCB공급건\MOP추가생산,,
66,2024-11-02 00:00:00,파츠맨,PQ-24103101,제BEUP KNK24-1102-1호,1,VOIP모듈추가구매,1,,,2024-11-05 00:00:00,,1873650,물품납기시,㈜지아이씨,GIC CSP24-0923-1호 추가PCB공급건,계약 서명확인,입고 확인 ,241202 전자세금계산서,241216 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\파츠맨\GIC CSP24-0923-1호 추가PCB공급건\VOIPMODULE추가생산,,
65,2024-11-06 00:00:00,㈜세일엔지니어링,2401106-02,제BEUP JDS24-1106-1호,1,PAB,55,2024-11-20 00:00:00,발주 후 2주내,2024-11-13 00:00:00,,330000,제작완료시 지급,㈜지아이씨,GIC CSP24-0524-1호,계약 서명확인,입고 확인,241113 전자세금계산서,241129 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\㈜세일엔지니어링\241104_GIC CSP24-0524-1호_MOP외2종,,
64,2024-11-01 00:00:00,파츠맨,확인불가,제BEUP KNK24-1101-2호,1,스큐류외,1,2024-11-11 00:00:00,발주 후 10일,2024-10-31 00:00:00,,761100,물품납기시,㈜지아이씨,GIC CSP24-0923-1호,계약 서명확인,입고 확인,241030 전자세금계산서,241104 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\파츠맨\GIC CSP24-0923-1호 추가PCB공급건\10월자재진행,,
63,2024-11-01 00:00:00,㈜메카전자,확인불가,제BEUP KNK24-1101-1호,1,PCB외,1,2024-11-16 00:00:00,발주 후 15일,2024-11-04 00:00:00,,6675000,물품납기시,㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,입고 확인,241106 전자세금계산서,241108 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\㈜메카전자\GIC CSP24-0913-1호 NVRCTMMSR 3종생산,,
62,2024-10-30 00:00:00,아이리코(I RICCO),확인불가,제BEUP JDS24-1023-1호,1,HK향 PCB코팅 10종,200,2024-11-27 00:00:00,발주 후 4주내,확인불가,,800000,제작완료시 지급,㈜지아이씨,GIC CSP24-0524-2호,계약 서명확인,입고 확인,241031 전자세금계산서 / 10월 3건 통합,241108 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\아이리코(I RICCO)\241016_GIC CSP24-0524-2호_PSR-Hub외9종생산\241023_BEUP JDS24-1023-1호_M12컨넥터 배선작업,,
61,2024-10-29 00:00:00,㈜태신전자,TS241021-10,제BEUP KNK24-1029-1호,1,SSD PCB제작,110,2024-11-26 00:00:00,발주 후 4주내,2024-11-12 00:00:00,,1463000,납품 후 100% 지불,㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,입고 확인,241112 전자세금계산서,241220 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\(주)태신전자\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\2_SSD,,
60,2024-10-24 00:00:00,캐드존,00994,제BEUP KNK24-1024-1호,1,PCB아트웍/조립비,1,2024-11-21 00:00:00,발주 후 4주내,2024-11-01 00:00:00,,4090000,납품 후 100% 지불,㈜지아이씨,GIC CSP24-0524-1호,계약 서명확인,입고 확인,241105 전자세금계산서,241108 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\캐드존\240524_GIC CSP24-0524-1호_MOP외2종생산,,
59,2024-10-21 00:00:00,㈜일성,견24-10-15,제BEUP KNK24-1021-1호,1,5종 PCB제작,1,2025-03-10 00:00:00,발주 후 20주내,2024-12-12 00:00:00,,15006000,납품 후 100% 현금지급,㈜지아이씨,GIC CSP24-0913-1호 NVRCTMMSR 3종생산,계약 서명확인,입고 확인,241218 전자세금계산서,241220 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\일성\GIC CSP24-0913-1호 NVRCTMMSR 3종생산,"15,081,000원 --> 15,006,000원 금액 오타로 수정 ( 25/2/6 , 이동진)",
58,2024-10-18 00:00:00,㈜엔에스티정보통신,,제BEUP JDS24-1018-2호,1,이더넷스위치,1,2024-11-15 00:00:00,발주 후 4주내,2024-10-22 00:00:00,,1900000,납품 후 지급,㈜지아이씨,GIC CSP24-0923-1호,계약 서명확인,입고 확인,241022 전자세금계산서,241113 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\㈜엔에스티정보통신\GIC CSP24-0923-1호_MSR PWR Board for MSR외 10종\제BEUP JDS24-1018-2호,,
57,2024-10-18 00:00:00,아이리코(I RICCO),확인불가,제BEUP JDS24-1018-1호,1,PAB,50,2024-11-01 00:00:00,발주 후 2주내,확인불가,,2500000,제작완료시 지급,㈜지아이씨,GIC CSP24-0409-1호,계약 서명확인,입고 확인,241031 전자세금계산서 / 10월 3건 통합,241108 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\아이리코(I RICCO)\240409_GIC CSP24-0409-1호_PAB외4종생산\241018_BEUP JDS24-1018-1_PAB 배선작업,,
56,2024-10-17 00:00:00,아이닉스,INQUT2410-010,제BEUP JDS24-1016-1호,1,M12 D-CD FEMALE 4PIN CONNECTOR,300,2024-11-28 00:00:00,발주 후 6주내,2024-11-14 00:00:00,,7277250,납품 후 지급,㈜지아이씨,GIC CSP24-0923-1호,계약 서명확인,입고 확인,241130 전자세금계산서,241220 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS/5-1_업체구매요청서/1_부품구매요청서및계약서/아이닉스/GIC CSP24-0923-1호_MSR PWR Board for MSR외 10종,,
55,2024-10-15 00:00:00,㈜태신전자,TS241008-10,제BEUP KNK24-1015-1호,1,HUB,110,2024-11-12 00:00:00,발주 후 4주내,확인불가,,1925000,납품 후 100% 지불,㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,입고 확인,241029 전자세금계산서,241104 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\㈜태신전자\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\1_MTX_TCIU_HUB_MOP,,
54,2024-10-15 00:00:00,㈜태신전자,TS241008-10,제BEUP KNK24-1015-1호,2,TCIU,65,2024-11-12 00:00:00,발주 후 4주내,확인불가,,1137500,납품 후 100% 지불,㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,입고 확인,241029 전자세금계산서,241104 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\㈜태신전자\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\1_MTX_TCIU_HUB_MOP,,
53,2024-10-15 00:00:00,㈜태신전자,TS241008-10,제BEUP KNK24-1015-1호,3,MTX,75,2024-11-12 00:00:00,발주 후 4주내,확인불가,,1035000,납품 후 100% 지불,㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,입고 확인,241029 전자세금계산서,241104 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\㈜태신전자\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\1_MTX_TCIU_HUB_MOP,,
52,2024-10-15 00:00:00,㈜태신전자,TS241008-10,제BEUP KNK24-1015-1호,4,MOP,50,2024-11-12 00:00:00,발주 후 4주내,확인불가,,312500,납품 후 100% 지불,㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,입고 확인,241029 전자세금계산서,241104 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\㈜태신전자\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\1_MTX_TCIU_HUB_MOP,,
51,2024-10-15 00:00:00,㈜태신전자,TS241008-10,제BEUP KNK24-1015-1호,5,MOP-SUB,50,2024-11-12 00:00:00,발주 후 4주내,확인불가,,250000,납품 후 100% 지불,㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,입고 확인,241029 전자세금계산서,241104 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\㈜태신전자\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\1_MTX_TCIU_HUB_MOP,,
50,2024-10-15 00:00:00,㈜태신전자,TS241008-10,제BEUP KNK24-1015-1호,6,VOIP MODULE,50,2024-11-12 00:00:00,발주 후 4주내,확인불가,,450000,납품 후 100% 지불,㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,입고 확인,241029 전자세금계산서,241104 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\㈜태신전자\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\1_MTX_TCIU_HUB_MOP,,
49,2024-10-08 00:00:00,파츠맨,확인불가,제BEUP KNK24-1008-1호,1,CTM부품자재,1,2024-10-18 00:00:00,발주 후 10일,,,16832480,물품납기시,㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,입고 확인,241030 전자세금계산서,241104 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\파츠맨\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\CTM,,
48,2024-10-08 00:00:00,㈜유에스케이,UKS-2K2410071-A,제BEUP JDS24-1007-3호,1,홍콩예비품 6종 Front_Panel,1,2024-11-05 00:00:00,발주 후 4주내,2024-10-21 00:00:00,,1970000,납품 후 지급,㈜지아이씨,GIC CSP24-0923-1호,계약 서명확인,입고 확인,"241021 전자세금계산서 / 금액 차이(\20,000) 확인 필요",241113 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\㈜유에스케이\GIC CSP24-0524-2호_PSR-Hub외9종생산\6종_Front Panel,,
47,2024-10-08 00:00:00,이지파워,EGPO-1301-AG,제BEUP JDS24-1007-2호,3,홍콩예비품 파워 3종,45,2024-12-17 00:00:00,,2024-12-12 00:00:00,,5475000,납품 후 지급,㈜지아이씨,GIC CSP24-0524-2호,계약 서명확인,입고 확인,241213 전자세금계산서,241220 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS/5-1_업체구매요청서/1_부품구매요청서및계약서/이지파워/GIC CSP24-0524-2호_PSR-Hub외9종생산/제BEUP JDS24-1007-2호,,
46,2024-10-08 00:00:00,아이리코(I RICCO),확인불가,제BEUP JDS24-1007-1호,1,HK향 PCB코팅 10종,103,2024-11-05 00:00:00,발주 후 4주내,확인불가,,400000,제작완료시 지급,㈜지아이씨,GIC CSP24-0524-2호,계약 서명확인,입고 확인,241031 전자세금계산서 / 10월 3건 통합,241108 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\아이리코(I RICCO)\241016_GIC CSP24-0524-2호_PSR-Hub외9종생산\241004_BEUP JDS24-1007-1호_M12컨넥터 배선작업,,
45,2024-09-27 00:00:00,㈜일렉콤티에스,확인불가,제BEUP KNK24-0927-1호,1,CL10B104KB8NNNC외,1,2024-10-12 00:00:00,발주 후 15일,2024-10-14 00:00:00,,66782940,물품납기시,㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,입고 확인,241014 전자세금계산서,241017 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\주식회사 일렉콤티에스\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\MSR_SC,,
44,2024-09-24 00:00:00,아이리코(I RICCO),확인불가,제BEUP KNK24-0924-1호,1,HK향 PCB코팅 1종,14,2024-10-22 00:00:00,발주 후 4주내,2024-09-30 00:00:00,,210000,제작완료시 지급,㈜지아이씨,GIC CSP24-0923-1호,계약 서명확인,입고 확인,240930 전자세금계산서,241004 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\아이리코(I RICCO)\240923_GIC CSP24-0923-1호_MSR PWR Board for MSR외 10종\제BEUP KNK24-0924-1호_홍콩보드코팅_아이리코,,
43,2024-09-23 00:00:00,파츠맨,확인불가,제BEUP KNK24-0923-2호,1,그리스 외,1,2024-10-03 00:00:00,발주 후 10일,2024-09-25 00:00:00,,1304100,물품납기시,㈜지아이씨,GIC CSP24-0923-1호,계약 서명확인,입고 확인,240930 전자세금계산서,241004 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\파츠맨\GIC CSP24-0923-1호 추가PCB공급건\9월자재비용,,
42,2024-09-23 00:00:00,파츠맨,확인불가,제BEUP KNK24-0923-1호,1,CL10B104KB8NNNC외,1,2024-10-03 00:00:00,발주 후 10일,2024-09-25 00:00:00,,15905345,물품납기시,㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,입고 확인,240930 전자세금계산서,241004 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\파츠맨\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\NVR,,
41,2024-09-14 00:00:00,바이슨,확인불가,제BEUP CSP24-0914-1호,1,계단 리프트 ASS'Y 제작 및 설치,1,2024-10-12 00:00:00,발주 후 4주내,확인불가,,2772000,2. 설치 후 잔금 50%,,,계약 서명확인,입고 확인,(잔금) 241016 전자세금계산서,(잔금) 241017 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\바이슨,,
40,2024-09-14 00:00:00,바이슨,확인불가,제BEUP CSP24-0914-1호,1,계단 리프트 ASS'Y 제작 및 설치,1,2024-10-12 00:00:00,발주 후 4주내,확인불가,,2772000,1. 계약 시 선금 50%,,,계약 서명확인,입고 확인,(선금) 240914 전자세금계산서,(선금) 240914 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\바이슨,,
39,2024-09-13 00:00:00,아이닉스,INQUT2409-009,제BEUP KNK24-0913-1호,1,MotherBoard IMB-161-L,2,2024-10-11 00:00:00,발주 후 4주내,2024-09-24 00:00:00,,1446000,납품 후 지급,㈜다원시스 ,DWE-2024-JUN-11-001,계약 서명확인,입고 확인,240927 전자세금계산서,241017 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\아이닉스\DWE-2024-JUN-11-001_7호선3차분TCMS개조_CSC수리부품구매,,
38,2024-09-09 00:00:00,이지파워,EGPO-1301-AG,제BEUP_24-0909-1호,1,홍콩예비품 8종 명판,320,2024-10-07 00:00:00,발주 후 4주내,2024-09-23 00:00:00,,4680000,납품 후 지급,㈜지아이씨,GIC CSP24-0524-2호,계약 서명확인,입고 확인,240921 전자세금계산서,241004 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\이지파워\GIC CSP24-0524-2호_PSR-Hub외9종생산\제BEUP_24-0909-1호,,
37,2024-09-09 00:00:00,㈜일성,견24-05-22,제BEUP JDS24-0522-1호,1,11종 PCB제작,1,2025-01-27 00:00:00,발주 후 20주내,(2차납품 5종) 2024-10-24,,9015600,"2차납품 5종 30% : ₩9,015,600(VAT별도)",㈜지아이씨,GIC CSP24-0524-2호,계약 서명확인,입고 확인,(잔금-2차납품 5종) 241031 전자세금계산서,(잔금-2차납품 5종) 241108 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\(주)일성\GIC CSP24-0524-2호_PSR-Hub외9종생산,,
36,2024-09-09 00:00:00,㈜일성,견24-05-22,제BEUP JDS24-0522-1호,1,11종 PCB제작,1,2025-01-27 00:00:00,발주 후 20주내,(1차납품 6종) 2024-08-15,,12020800,"1차납품 6종 40% : ₩12,020,800(VAT별도)",㈜지아이씨,GIC CSP24-0524-2호,계약 서명확인,입고 확인,(1차납품 6종) 240830 전자세금계산서,(1차납품 6종) 240913 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\(주)일성\GIC CSP24-0524-2호_PSR-Hub외9종생산,,
35,2024-09-09 00:00:00,㈜일성,견24-05-22,제BEUP JDS24-0522-1호,1,11종 PCB제작,1,2025-01-27 00:00:00,발주 후 20주내,,,9015600,"선금 30% : ₩9,015,600(VAT별도)",㈜지아이씨,GIC CSP24-0524-2호,계약 서명확인,입고 확인,(선금) 전자세금계산서 미확인,(선금) 240528 지급(입금) 내역 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\(주)일성\GIC CSP24-0524-2호_PSR-Hub외9종생산,,
34,2024-09-06 00:00:00,아이리코(I RICCO),확인불가,제BEUP JDS24-0828-1호,1,HK향 PCB코팅 10종,1,2025-01-24 00:00:00,발주 후 20주내,확인불가,,8274400,제작완료시 지급,㈜지아이씨,GIC CSP24-0524-2호,계약 서명확인,입고 확인,240831 전자세금계산서,240910 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\아이리코(I RICCO)\241016_GIC CSP24-0524-2호_PSR-Hub외9종생산\Board 코팅,,
33,2024-08-28 00:00:00,파츠맨,확인불가,제BEUP JDS24-0828-2호,1,스큐류 2.6x12외,1,2024-09-07 00:00:00,발주 후 10일,2024-08-28 00:00:00,,982500,물품납기시,㈜지아이씨,GIC CSP24-0524-2호,계약 서명확인,입고 확인,240828 전자세금계산서,240910 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\파츠맨\GIC CSP24-0524-2호_PSR-Hub외9종생산\8월자재진행,,
32,2024-08-21 00:00:00,아이닉스,INQUT2408-021,제BEUP JDS24-0821-1호,1,Coding Pliers,1,2024-09-18 00:00:00,발주 후 4주내,2024-09-04 00:00:00,,788000,납품 후 지급,㈜지아이씨,GIC CSP24-0524-2호,계약 서명확인,입고 확인,240904 전자세금계산서,241004 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\아이닉스\GIC CSP24-0524-2호_PSR-Hub외9종생산,,
31,2024-07-23 00:00:00,㈜이송이엠씨,확인불가,-,1,SF050020R-C-NB-A (W5*T2*L1000mm),100,,,,,180000,첫거래 선금,㈜지아이씨,GIC CSP24-0524-1호,확인불가,입고 확인,전자세금계산서 기록 확인 필요,지급(입금) 기록 없음,1.지불 완료,VAT 별도,누락,,
30,2024-07-23 00:00:00,㈜이송이엠씨,확인불가,-,1,SM-W18B (1000mm*100M/RL),1,,,,,1500000,첫거래 선금,㈜지아이씨,GIC CSP24-0524-1호,확인불가,입고 확인,전자세금계산서 기록 확인 필요,지급(입금) 기록 없음,1.지불 완료,VAT 별도,누락,,
29,2024-07-15 00:00:00,㈜화인테크폴리머,확인불가,확인불가,,금형,1,,,,,800000,,,,확인불가,입고 확인,전자세금계산서 기록 확인 필요,지급(입금) 기록 없음,1.지불 완료,VAT 별도,누락,,
28,2024-07-15 00:00:00,㈜화인테크폴리머,확인불가,확인불가,,SPEAKER EPDM GASKET 6T*41*71,100,,,,,75000,,,,확인불가,입고 확인,전자세금계산서 기록 확인 필요,지급(입금) 기록 없음,1.지불 완료,VAT 별도,누락,,
27,2024-07-15 00:00:00,㈜화인테크폴리머,확인불가,확인불가,,EPDM SEALING FOAM 1T*5*342,100,,,,,55000,,,,확인불가,입고 확인,전자세금계산서 기록 확인 필요,지급(입금) 기록 없음,1.지불 완료,VAT 별도,누락,,
26,2024-07-15 00:00:00,㈜화인테크폴리머,확인불가,확인불가,,EPDM SEALING FOAM 1T*5*614,50,,,,,95000,,,,확인불가,입고 확인,전자세금계산서 기록 확인 필요,지급(입금) 기록 없음,1.지불 완료,VAT 별도,누락,,
25,2024-07-15 00:00:00,㈜화인테크폴리머,확인불가,확인불가,,난연 SILICONE 백색 (도번: R1D013805),1,,,,,800000,,,,확인불가,입고 확인,전자세금계산서 기록 확인 필요,지급(입금) 기록 없음,1.지불 완료,VAT 별도,누락,,
24,2024-07-22 00:00:00,유니퀘스트㈜,확인불가,제BEUP JDS24-0722-1호,1,SM619GECDFSTCX59C,180,2024-12-09 00:00:00,발주 후 20주내,확인불가,4950,6637950,"입금 후 1주일 내 물품발송
환율은 납품 시 고시가로 한다(\6,637,950)",㈜지아이씨,GIC CSP24-0524-1호,계약 서명확인,입고 확인,240904 전자세금계산서,240910 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\유니퀘스트㈜\240524_GIC CSP24-0524-1호_MOP외2종생산,,
